date,open,high,low,close,volume,average,barCount
2024-12-09 13:15:00,522.69,522.79,522.62,522.67,5700,522.722,39
2024-12-09 13:20:00,522.71,522.93,522.65,522.92,5493,522.779,47
2024-12-09 13:25:00,523.0,523.37,522.99,523.29,12486,523.2,93
2024-12-09 13:30:00,523.17,523.29,523.11,523.24,5200,523.224,37
2024-12-09 13:35:00,523.28,523.72,523.28,523.63,14078,523.525,83
2024-12-09 13:40:00,523.72,523.72,523.47,523.66,6202,523.595,43
2024-12-09 13:45:00,523.68,523.89,523.63,523.87,6895,523.793,42
2024-12-09 13:50:00,523.92,523.92,523.58,523.58,8615,523.731,42
2024-12-09 13:55:00,523.61,523.61,523.35,523.51,6903,523.45,47
2024-12-09 14:00:00,523.47,523.47,522.88,522.89,12922,523.088,74
2024-12-09 14:05:00,522.88,523.1,522.68,523.1,12144,522.897,64
2024-12-09 14:10:00,523.09,523.09,522.85,522.89,2738,522.96,22
2024-12-09 14:15:00,522.85,522.9,522.7,522.71,6560,522.786,53
2024-12-09 14:20:00,522.7,522.72,522.54,522.65,10538,522.617,72
2024-12-09 14:25:00,522.58,522.67,522.33,522.54,8128,522.512,51
2024-12-09 14:30:00,522.5,522.58,522.33,522.35,3492,522.429,33
2024-12-09 14:35:00,522.3,522.38,522.18,522.27,7560,522.265,57
2024-12-09 14:40:00,522.25,522.25,521.7,522.0,21742,521.98,151
2024-12-09 14:45:00,521.96,521.97,521.63,521.74,13553,521.807,100
2024-12-09 14:50:00,521.73,521.81,521.42,521.81,19471,521.618,127
2024-12-09 14:55:00,521.79,522.23,521.79,522.18,14005,522.042,84
2024-12-09 15:00:00,522.21,522.21,521.68,521.72,6850,521.869,48
2024-12-09 15:05:00,521.77,521.77,521.57,521.68,4434,521.696,25
2024-12-09 15:10:00,521.69,521.7,521.53,521.63,6818,521.581,48
2024-12-09 15:15:00,521.64,521.84,521.47,521.68,11994,521.65,79
2024-12-09 15:20:00,521.69,521.83,521.45,521.52,8589,521.656,55
2024-12-09 15:25:00,521.58,521.58,521.34,521.43,10397,521.421,68
2024-12-09 15:30:00,521.46,521.81,521.41,521.55,18153,521.615,114
2024-12-09 15:35:00,521.57,521.79,521.56,521.6,30646,521.605,106
2024-12-09 15:40:00,521.61,521.83,521.5,521.54,19876,521.7,126
2024-12-09 15:45:00,521.53,521.79,521.37,521.78,18566,521.535,142
2024-12-09 15:50:00,521.78,522.25,521.72,521.85,54182,521.975,367
2024-12-09 15:55:00,521.84,522.47,521.75,522.37,140806,522.157,663
2024-12-10 09:30:00,523.5,523.62,522.8,523.45,75304,523.328,494
2024-12-10 09:35:00,523.51,523.83,523.31,523.83,61540,523.533,449
2024-12-10 09:40:00,523.84,524.65,523.69,524.65,30748,524.099,193
2024-12-10 09:45:00,524.68,524.94,524.53,524.62,33024,524.777,220
2024-12-10 09:50:00,524.6,524.6,523.4,523.46,19137,523.938,152
2024-12-10 09:55:00,523.46,524.01,523.13,523.99,19379,523.543,123
2024-12-10 10:00:00,523.94,524.72,523.91,524.7,14973,524.28,100
2024-12-10 10:05:00,524.68,525.28,524.49,525.07,16776,524.828,110
2024-12-10 10:10:00,525.05,525.21,524.73,525.07,17041,524.971,110
2024-12-10 10:15:00,525.15,525.35,525.09,525.17,15344,525.226,102
2024-12-10 10:20:00,525.23,525.23,524.62,524.79,14049,524.879,71
2024-12-10 10:25:00,524.74,524.81,524.31,524.31,9653,524.607,58
2024-12-10 10:30:00,524.24,524.62,523.87,524.55,33445,524.266,235
2024-12-10 10:35:00,524.49,524.63,524.12,524.37,14814,524.372,107
2024-12-10 10:40:00,524.29,524.46,523.99,524.28,11957,524.212,73
2024-12-10 10:45:00,524.3,524.46,523.88,523.88,14518,524.055,69
2024-12-10 10:50:00,523.92,523.97,523.33,523.38,18611,523.591,122
2024-12-10 10:55:00,523.36,523.47,522.74,522.93,10776,523.086,60
2024-12-10 11:00:00,522.93,523.12,522.51,523.06,21338,522.812,137
2024-12-10 11:05:00,523.0,523.1,522.14,522.17,16943,522.6,100
2024-12-10 11:10:00,522.22,522.78,522.11,522.78,27812,522.526,161
2024-12-10 11:15:00,522.71,522.86,522.53,522.86,6380,522.716,49
2024-12-10 11:20:00,522.8,523.03,522.62,522.62,12316,522.897,91
2024-12-10 11:25:00,522.71,522.94,522.05,522.17,22131,522.404,110
2024-12-10 11:30:00,522.1,522.25,521.77,521.99,38528,521.997,275
2024-12-10 11:35:00,521.94,522.21,521.69,521.79,37092,521.965,286
2024-12-10 11:40:00,521.79,521.79,521.57,521.63,35747,521.691,233
2024-12-10 11:45:00,521.64,521.98,521.54,521.97,36185,521.702,246
2024-12-10 11:50:00,521.99,522.21,521.88,521.88,19070,522.082,120
2024-12-10 11:55:00,521.88,522.45,521.83,522.45,38247,522.127,232
2024-12-10 12:00:00,522.36,522.41,522.13,522.31,9527,522.246,57
2024-12-10 12:05:00,522.3,522.47,522.19,522.35,15801,522.312,62
2024-12-10 12:10:00,522.38,522.49,521.66,521.67,8798,522.04,59
2024-12-10 12:15:00,521.64,521.72,521.45,521.72,17603,521.605,106
2024-12-10 12:20:00,521.75,522.49,521.75,522.46,23176,522.228,115
2024-12-10 12:25:00,522.43,522.58,522.22,522.26,7016,522.466,57
2024-12-10 12:30:00,522.24,522.8,522.23,522.8,20375,522.527,130
2024-12-10 12:35:00,522.77,522.81,522.32,522.34,14945,522.514,113
2024-12-10 12:40:00,522.28,522.59,522.2,522.36,24506,522.409,175
2024-12-10 12:45:00,522.38,522.56,522.36,522.44,20006,522.45,114
2024-12-10 12:50:00,522.46,522.46,521.88,521.92,29020,522.187,177
2024-12-10 12:55:00,521.98,522.18,521.81,522.06,17329,522.01,126
2024-12-10 13:00:00,522.04,522.28,521.91,522.07,25625,522.127,186
2024-12-10 13:05:00,522.06,522.14,521.8,521.88,48447,521.951,324
2024-12-10 13:10:00,521.91,521.94,521.72,521.76,12207,521.828,92
2024-12-10 13:15:00,521.76,522.17,521.75,522.06,19745,521.943,156
2024-12-10 13:20:00,521.99,522.17,521.98,522.02,11150,522.016,60
2024-12-10 13:25:00,521.95,522.2,521.95,522.18,12521,522.104,44
2024-12-10 13:30:00,522.2,522.37,522.04,522.37,4577,522.185,30
2024-12-10 13:35:00,522.27,522.31,522.09,522.14,5011,522.194,32
2024-12-10 13:40:00,522.09,522.27,521.96,521.97,17524,522.067,130
2024-12-10 13:45:00,521.98,522.02,521.85,521.88,8825,521.946,61
2024-12-10 13:50:00,521.78,521.8,521.59,521.67,18280,521.666,80
2024-12-10 13:55:00,521.68,521.73,521.56,521.63,15567,521.637,73
2024-12-10 14:00:00,521.61,521.7,521.33,521.56,17695,521.547,104
2024-12-10 14:05:00,521.53,521.66,521.35,521.51,16400,521.484,107
2024-12-10 14:10:00,521.43,521.44,521.21,521.4,17157,521.342,125
2024-12-10 14:15:00,521.37,521.46,521.24,521.45,33981,521.343,189
2024-12-10 14:20:00,521.45,521.69,521.45,521.69,14822,521.589,115
2024-12-10 14:25:00,521.7,521.77,521.52,521.6,16101,521.628,88
2024-12-10 14:30:00,521.57,521.6,521.18,521.24,19672,521.399,97
2024-12-10 14:35:00,521.2,521.22,520.89,520.91,15440,521.014,102
2024-12-10 14:40:00,520.9,521.22,520.76,521.03,34096,520.978,246
2024-12-10 14:45:00,521.0,521.03,520.43,520.43,13113,520.693,109
2024-12-10 14:50:00,520.42,520.59,520.31,520.47,44278,520.446,314
2024-12-10 14:55:00,520.46,520.74,520.45,520.61,52989,520.562,394
2024-12-10 15:00:00,520.59,520.6,519.87,519.96,48225,520.143,388
2024-12-10 15:05:00,519.98,520.24,519.77,520.24,36071,519.947,286
2024-12-10 15:10:00,520.24,520.24,519.76,519.92,27903,519.89,182
2024-12-10 15:15:00,519.9,520.09,519.82,519.95,25678,519.901,151
2024-12-10 15:20:00,519.95,520.03,519.79,519.93,14529,519.884,111
2024-12-10 15:25:00,519.85,519.85,519.58,519.62,18773,519.716,145
2024-12-10 15:30:00,519.64,519.66,519.17,519.63,35386,519.473,237
2024-12-10 15:35:00,519.61,519.83,519.53,519.8,35829,519.671,237
2024-12-10 15:40:00,519.83,520.24,519.83,520.16,33727,520.102,235
2024-12-10 15:45:00,520.24,520.24,519.83,520.0,38047,520.002,233
2024-12-10 15:50:00,519.96,520.37,519.95,520.15,76683,520.242,531
2024-12-10 15:55:00,520.15,520.59,520.1,520.55,141635,520.386,848
2024-12-11 09:30:00,525.0,525.69,524.59,525.4,98013,525.085,648
2024-12-11 09:35:00,525.42,525.83,525.12,525.43,104369,525.55,833
2024-12-11 09:40:00,525.41,526.17,525.35,526.11,54014,525.733,321
2024-12-11 09:45:00,526.11,527.1,526.05,526.91,59168,526.782,387
2024-12-11 09:50:00,526.97,527.58,526.92,527.44,49608,527.284,323
2024-12-11 09:55:00,527.47,527.58,526.95,527.54,52823,527.231,343
2024-12-11 10:00:00,527.59,527.64,527.16,527.42,46855,527.408,310
2024-12-11 10:05:00,527.45,528.23,527.45,528.21,56012,527.92,390
2024-12-11 10:10:00,528.21,528.49,527.88,528.49,42235,528.165,252
2024-12-11 10:15:00,528.38,528.52,527.8,527.91,37987,528.077,188
2024-12-11 10:20:00,527.91,528.05,527.48,527.68,36901,527.675,244
2024-12-11 10:25:00,527.65,527.96,527.31,527.4,23398,527.691,146
2024-12-11 10:30:00,527.46,528.31,527.46,528.31,22229,527.814,150
2024-12-11 10:35:00,528.23,528.32,528.01,528.2,11861,528.16,81
2024-12-11 10:40:00,528.19,528.34,527.6,528.05,31801,528.009,222
2024-12-11 10:45:00,528.03,528.26,527.81,527.83,28029,527.966,168
