date,time,type,trigger_level,entry_price,orb_high,orb_low,orb_range,volume,rsi,confidence_score,confidence_level,breakout_pct
2025-01-13,2025-01-13 09:53:00,LONG,501.68,501.9,501.68,499.7,1.9800000000000182,15131,70.39800995024811,1.5,LOW,11.111111111109516
2025-01-14,2025-01-14 09:53:00,SHORT,507.51,507.25,510.14,507.51,2.6299999999999955,13017,26.846846846846958,7.0,HIGH,9.885931558935033
2025-01-15,2025-01-15 10:00:00,LONG,515.22,515.5,515.22,511.47,3.75,21172,63.90243902438923,5.5,MEDIUM,7.4666666666659385
2025-01-16,2025-01-16 10:00:00,SHORT,516.01,515.54,519.02,516.01,3.009999999999991,29122,36.218678815490364,4.5,MEDIUM,15.61461794020029
2025-01-17,2025-01-17 10:27:00,SHORT,519.22,519.09,523.02,519.22,3.7999999999999545,4435,24.347826086955436,1.5,LOW,3.4210526315788683
2025-01-21,2025-01-21 09:54:00,SHORT,521.63,521.49,524.68,521.63,3.0499999999999545,18945,46.55493482309121,4.0,MEDIUM,4.590163934425851
2025-01-22,2025-01-22 09:51:00,LONG,531.25,531.41,531.25,529.27,1.9800000000000182,11973,64.58333333333405,3.5,LOW,8.0808080808064
2025-01-24,2025-01-24 09:52:00,LONG,533.53,533.57,533.53,531.91,1.6200000000000045,2331,73.37461300309664,3.5,LOW,2.4691358024739007
2025-01-27,2025-01-27 09:57:00,LONG,515.74,515.78,515.74,510.53,5.210000000000036,14888,68.9542483660122,4.0,MEDIUM,0.7677543186173386
2025-01-28,2025-01-28 10:01:00,LONG,515.63,516.12,515.63,511.78,3.8500000000000227,28896,85.14190317195336,3.0,LOW,12.72727272727289
2025-01-29,2025-01-29 10:27:00,SHORT,519.98,519.89,522.59,519.98,2.6100000000000136,5360,41.952506596305575,9.5,HIGH,3.4482758620701675
2025-01-30,2025-01-30 09:51:00,LONG,525.83,525.98,525.83,522.49,3.340000000000032,13815,84.98789346247153,2.0,LOW,4.4910179640711325
2025-01-31,2025-01-31 09:52:00,LONG,528.45,528.51,528.45,526.74,1.7100000000000364,7571,69.30091185410461,8.5,HIGH,3.508771929821296
2025-02-03,2025-02-03 10:02:00,SHORT,512.59,512.13,515.83,512.59,3.240000000000009,26415,38.907284768211376,4.5,MEDIUM,14.197530864198612
2025-02-04,2025-02-04 09:52:00,LONG,521.01,521.42,521.01,518.23,2.7799999999999727,10339,67.48971193415733,7.5,HIGH,14.748201438847921
2025-02-05,2025-02-05 10:01:00,LONG,522.73,522.74,522.73,521.04,1.6900000000000546,11071,55.01618122977437,9.0,HIGH,0.5917159763308036
2025-02-06,2025-02-06 09:52:00,LONG,528.16,528.17,528.16,526.4,1.759999999999991,4421,65.50632911392269,8.5,HIGH,0.5681818181813044
2025-02-07,2025-02-07 10:00:00,SHORT,529.83,529.04,532.09,529.83,2.259999999999991,117144,16.96202531645305,3.0,LOW,34.955752212392945
2025-02-10,2025-02-10 10:01:00,LONG,528.31,528.41,528.31,526.75,1.5599999999999454,28689,59.077809798271055,8.5,HIGH,6.410256410258092
